species,name_change,Split_species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,New_Data_Notes,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Plocepasser rufoscapulatus,0,,Plocepasser rufoscapulatus,Passeriformes,LC,No,Volant,44.6,13.8,Woodland,Omnivore,Granivore,-12.69,,19.1,10.5,5.4,8.1,20.2,94.2,13,81.2,68,Not threatened
Plocepasser superciliosus,0,,Plocepasser superciliosus,Passeriformes,LC,No,Volant,37.1,17.2,Woodland,Omnivore,Granivore,9.83,,17.9,10.8,5.4,7.8,21.3,89.4,15.4,74.1,66.4,Not threatened
Ploceus albinucha,0,,Ploceus albinucha,Passeriformes,LC,No,Volant,27.2,20.2,Forest,Carnivore,Invertivore,3.29,,18.9,12.8,6.4,7.2,18.9,79.9,16.1,63.8,46.6,Not threatened
Ploceus alienus,0,,Ploceus alienus,Passeriformes,LC,No,Volant,22.2,13.3,Forest,Omnivore,Invertivore,-1.93,,18.3,11.6,5.8,6.4,19.1,68.2,9,58.5,54.6,Not threatened
Ploceus angolensis,0,,Ploceus angolensis,Passeriformes,LC,No,Volant,26.6,27.6,Woodland,Carnivore,Invertivore,-12.66,,17.6,11.1,4.5,5.9,17.1,80,22.1,57.9,44,Not threatened
Ploceus aurantius,0,,Ploceus aurantius,Passeriformes,LC,No,Volant,23,19.4,Wetland,Omnivore,Omnivore,1.93,,17.3,10.5,5,6.1,18.9,69.6,13.3,55.6,44.4,Not threatened
Ploceus aureonucha,0,,Ploceus aureonucha,Passeriformes,EN,No,Volant,26.6,21.5,Forest,Omnivore,Omnivore,1.06,,19.1,12.2,5.6,6.2,18.7,79,17,62,46,Threatened
Ploceus badius,0,,Ploceus badius,Passeriformes,LC,No,Volant,22,19.5,Grassland,Herbivore,Granivore,9.85,,17.4,11.8,5.8,7.5,19.7,72,13.9,58,45.8,Not threatened
Ploceus baglafecht,0,,Ploceus baglafecht,Passeriformes,LC,No,Volant,31.6,16.5,Shrubland,Carnivore,Invertivore,4.63,,19.5,12.4,6.7,8.1,23.3,79,13,66,57.3,Not threatened
Ploceus bannermani,0,,Ploceus bannermani,Passeriformes,VU,No,Volant,30.8,14.8,Forest,Omnivore,Omnivore,6.28,,20.5,11.9,6.6,8.4,23.1,75.1,11.1,64,54.9,Threatened
Ploceus batesi,0,,Ploceus batesi,Passeriformes,EN,No,Volant,26.6,17,Forest,Carnivore,Invertivore,3.02,,18,11.2,5.9,7.5,17.1,72.5,12.3,60.2,53.5,Threatened
Ploceus benghalensis,0,,Ploceus benghalensis,Passeriformes,LC,No,Volant,19.8,22.2,Wetland,Herbivore,Granivore,26,,16.9,11.4,6.4,8.5,19.7,68.8,15.4,53.6,44,Not threatened
Ploceus bertrandi,0,,Ploceus bertrandi,Passeriformes,LC,No,Volant,39,16.7,Woodland,Omnivore,Invertivore,-11.01,,20.8,13.5,6.9,8.8,23.6,79.6,13.2,65.6,58.8,Not threatened
Ploceus bicolor,0,,Ploceus bicolor,Passeriformes,LC,No,Volant,34.5,15.7,Forest,Omnivore,Invertivore,-9.82,,20.6,13.1,6.8,8.3,22.8,83.9,13.1,70.4,53.5,Not threatened
Ploceus bojeri,0,,Ploceus bojeri,Passeriformes,LC,No,Volant,22.4,18.7,Woodland,Omnivore,Omnivore,0.77,,17.2,11.1,5.9,7.9,21.6,74.2,13.9,60.5,52.2,Not threatened
Ploceus brachypterus,0,,Ploceus brachypterus,Passeriformes,LC,No,Volant,27.1,15.4,Woodland,Carnivore,Invertivore,8.75,,18,11.3,6.1,7.1,20.8,74.6,11.6,63.1,56,Not threatened
Ploceus burnieri,0,,Ploceus burnieri,Passeriformes,VU,No,Volant,18,10.5,Wetland,Herbivore,Granivore,-8.46,,17.7,11.1,6.1,7.9,23.1,70.2,7.3,62.9,43.2,Threatened
Ploceus capensis,0,,Ploceus capensis,Passeriformes,LC,No,Volant,44,25.4,Woodland,Omnivore,Omnivore,-29.75,,22.5,15.2,6.5,7.7,25,89.8,22.5,66.2,55.8,Not threatened
Ploceus castaneiceps,0,,Ploceus castaneiceps,Passeriformes,LC,No,Volant,18.5,16.3,Wetland,Herbivore,Granivore,-3.56,,17.9,10.9,5.7,7.2,22.8,73.4,11.9,61.5,52.8,Not threatened
Ploceus castaneofuscus,0,,Ploceus castaneofuscus,Passeriformes,LC,No,Volant,34.3,18.9,Woodland,Omnivore,Invertivore,7.34,,19.8,13.2,7,8.9,21.9,82.1,15.4,66.4,53.2,Not threatened
Ploceus castanops,0,,Ploceus castanops,Passeriformes,LC,No,Volant,21.4,16,Wetland,Herbivore,Granivore,0,,18.1,12.2,5.3,6.9,22.6,69,11,58,45.5,Not threatened
Ploceus cucullatus,0,,Ploceus cucullatus,Passeriformes,LC,Yes,Volant,36.1,19.4,Woodland,Herbivore,Granivore,-1.19,,20.3,14.6,8.3,10.1,23,82.6,16,66.6,48.6,Not threatened
Ploceus dichrocephalus,0,,Ploceus dichrocephalus,Passeriformes,LC,No,Volant,18.5,15.8,Wetland,Herbivore,Granivore,3.77,,16.8,11.4,5.8,7.5,21.4,72,11.3,60.6,49,Not threatened
Ploceus dorsomaculatus,0,,Ploceus dorsomaculatus,Passeriformes,LC,No,Volant,26.6,22.7,Forest,Carnivore,Invertivore,1.64,,18.6,11.2,5.7,6.9,19.9,80,18.1,61.8,49.5,Not threatened
Ploceus flavipes,0,,Ploceus flavipes,Passeriformes,VU,No,Volant,46.3,19.7,Forest,Carnivore,Invertivore,1.09,IUCN,18,10.8,5.6,6.3,18.8,77,15.2,61.8,42.5,Threatened
Ploceus galbula,0,,Ploceus galbula,Passeriformes,LC,No,Volant,21.7,17.7,Grassland,Herbivore,Granivore,12.97,,15.8,10.4,5.8,7.6,20,71.4,12.6,58.6,47.8,Not threatened
Ploceus golandi,0,,Ploceus golandi,Passeriformes,EN,No,Volant,23.5,21.7,Forest,Carnivore,Invertivore,-3.19,,17,11.2,5.5,6,20.1,71.4,15.4,55.6,47.7,Threatened
Ploceus grandis,0,,Ploceus grandis,Passeriformes,NT,Yes,Volant,63.5,19.6,Forest,Herbivore,Granivore,0.24,,28.3,19.9,8.9,11.3,29.3,106.8,20.9,85.9,70.2,Not threatened
Ploceus heuglini,0,,Ploceus heuglini,Passeriformes,LC,No,Volant,22.8,23,Woodland,Carnivore,Invertivore,9.36,,17.4,11.9,6.6,7.5,18.3,73.2,16.5,55.5,41,Not threatened
Ploceus hypoxanthus,0,,Ploceus hypoxanthus,Passeriformes,NT,No,Volant,18.6,15.9,Wetland,Herbivore,Granivore,12.11,,17,11.9,8.2,11,20.8,66.9,10.7,56.2,49.9,Not threatened
Ploceus insignis,0,,Ploceus insignis,Passeriformes,LC,No,Volant,27.5,19.3,Forest,Omnivore,Invertivore,0,,18,9.8,4.6,5.8,19.9,83.5,16,66.9,48.4,Not threatened
Ploceus intermedius,0,,Ploceus intermedius,Passeriformes,LC,No,Volant,20.6,20.6,Woodland,Carnivore,Invertivore,-10.78,,16.6,10.9,5.8,6.5,20.9,68.8,14.1,54.6,45.4,Not threatened
Ploceus jacksoni,0,,Ploceus jacksoni,Passeriformes,LC,No,Volant,23.4,18.5,Wetland,Herbivore,Granivore,-1.61,,15.8,10.1,5.4,6.9,20.3,71,13.2,57.9,47,Not threatened
Ploceus katangae,0,,Ploceus katangae,Passeriformes,LC,No,Volant,18.5,19.6,Wetland,Herbivore,Granivore,-10.36,,15,9.7,5.4,6.9,18.7,65.2,12.8,52.4,44.5,Not threatened
Ploceus luteolus,0,,Ploceus luteolus,Passeriformes,LC,No,Volant,15.1,16.3,Woodland,Omnivore,Granivore,10.16,,13.6,8.5,4.7,5.7,16.7,62.6,10.3,53,43.2,Not threatened
Ploceus manyar,0,,Ploceus manyar,Passeriformes,LC,No,Volant,17.4,21,Shrubland,Herbivore,Granivore,21.08,,16.8,11.8,7.1,9.2,20.1,67.8,14.2,53.5,43.5,Not threatened
Ploceus megarhynchus,0,,Ploceus megarhynchus,Passeriformes,EN,No,Volant,34.3,21.4,Grassland,Herbivore,Granivore,27.69,,22.1,15.2,7.3,10.8,24.1,77,16.5,60.5,57.5,Threatened
Ploceus melanocephalus,0,,Ploceus melanocephalus,Passeriformes,LC,No,Volant,23,18.3,Wetland,Omnivore,Granivore,6.14,,16.2,10.9,5.8,7.3,20.5,72,13.1,58.9,46.8,Not threatened
Ploceus melanogaster,0,,Ploceus melanogaster,Passeriformes,LC,No,Volant,22.4,10.9,Forest,Carnivore,Invertivore,0.02,,19,12.6,5.4,6.1,20.3,69.2,7.6,61.7,48,Not threatened
Ploceus nelicourvi,0,,Ploceus nelicourvi,Passeriformes,LC,Yes,Volant,23.8,16.8,Forest,Carnivore,Invertivore,-18.29,,17.8,10.5,5.5,7.9,20,73.5,12.4,61,51.8,Not threatened
