IUCN_name,Frequency_month,Survey_interval_days,Road_length_km,Survey_period_days,Latitude,Longitude,Country,Roadkill_rate_ind_km_y,Roadkillrate_corrected,AdultBodyMass_g_median,Home_range_Km2,longevity_y,Ageofmaturity_d,SocialGrpSize,Diet_Invertebrates,Diet_Vertebrates.ectotherms,Diet_Scavenger,Diet_Seed,Diet_Plant,Activity_1Diurnal_2Nocturnal,Litter_clutch_size,Litters_or_clutches_per_y,Diet_breadth,Artificial,Cropland,Grassland,Forest,Sparse.vegetation,Water.bodies,Habitat_breadth,Population.density_IndKm2,risk_category
Myrmecophaga tridactyla,4,7,96,365,-19.36333333,-48.07916667,Brazil,0.03125,0.04553125,29.53183,4,26,1187.004,1,100,0,0,0,0,Nocturnal,1,1.17,1,0,1,1,1,1,0,6,0.2,medium
Myrmecophaga tridactyla,8.33,3.361344538,107,90,4.390395,-73.297052,Colombia,0.037902388,0.055223779,29.53183,4,26,1187.004,1,100,0,0,0,0,Nocturnal,1,1.17,1,0,1,1,1,1,0,6,0.2,medium
Nasua nasua,672,0.041666667,412,303,-26.07434,-49.744804,Brazil,0.008771508,0.008771508,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,low
Nasua nasua,4,7,70,214,-20.187971,-54.806624,Brazil,0.024365821,0.035501001,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,medium
Nasua nasua,4,7,100,365,-13.561588,-58.421854,Brazil,0.08,0.11656,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,high
Nasua nasua,28,1,180.4,1126,-22.307184,-43.130266,Brazil,0.001796875,0.002149063,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,low
Nasua nasua,4,7,115,365,-11.904988,-48.737133,Brazil,0.026086957,0.038008696,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,medium
Nasua nasua,4,7,45,366,-30.347781,-53.998679,Brazil,0.022161506,0.032289314,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,medium
Nasua nasua,4,7,216,538,-16.575593,-50.261,Brazil,0.037691037,0.054915841,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,medium
Nasua nasua,8,3.5,25,1310,-6.115415,-49.990498,Brazil,0.12259542,0.178621527,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,high
Nasua nasua,9.3,3.010752688,136,547,-14.157535,-47.59415,Brazil,0.009812883,0.014297371,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,low
Nasua nasua,6,4.666666667,26,761,-28.170158,-52.314813,Brazil,0.18447387,0.268778429,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,high
Nasua nasua,16,1.75,130,304,-20.675583,-43.349806,Brazil,0.01847166,0.023902328,3.79385,0.79,20.6625,785.91,3.58171153846154,10,0,0,0,0,Diurnal,3.75,1.1,3,0,0,0,1,1,0,3,9.09,low
