"IUCN_name","Frequency_month","Survey_interval_days","Road_length_km","Survey_period_days","Latitude","Longitude","Country","Roadkill_rate_ind_km_y","Roadkillrate_corrected","AdultBodyMass_g_median","Home_range_Km2","longevity_y","Ageofmaturity_d","SocialGrpSize","Diet_Invertebrates","Diet_Vertebrates.ectotherms","Diet_Scavenger","Diet_Seed","Diet_Plant","Activity_1Diurnal_2Nocturnal","Litter_clutch_size","Litters_or_clutches_per_y","Diet_breadth","Artificial","Cropland","Grassland","Forest","Sparse.vegetation","Water.bodies","Habitat_breadth","Population.density_IndKm2"
"Callithrix penicillata",4,7,96,365,-19.36333333,-48.07916667,"Brazil",0.03125,0.0535625,0.33998,0.01,15.7,477,5.9,"20","0","0","0","0","Diurnal",2,2,4,"0","0","0","1","0","0",1,40
"Callithrix penicillata",9.3,3.010752688,136,547,-14.157535,-47.59415,"Brazil",0.004906442,0.008409642,0.33998,0.01,15.7,477,5.9,"20","0","0","0","0","Diurnal",2,2,4,"0","0","0","1","0","0",1,40
"Callithrix penicillata",4,7,192,365,-19.278735,-48.122972,"Brazil",0.015625,0.02678125,0.33998,0.01,15.7,477,5.9,"20","0","0","0","0","Diurnal",2,2,4,"0","0","0","1","0","0",1,40
"Caluromys derbianus",10,2.8,8,730,18.436503,-95.089337,"Mexico",0.1875,0.2863125,0.32672,0.25285026,6.333333333,240,1,"20","0","0","10","40","Nocturnal",3.105,2,5,"0","1","0","1","0","0",2,153.806847619048
"Caluromys lanatus",9.3,3.010752688,136,547,-14.157535,-47.59415,"Brazil",0.014719325,0.025228923,0.35033,0.287691466666667,5,218.545501885714,1,"20","0","0","10","40","Nocturnal",2.5,3,5,"0","1","0","1","0","0",2,180.533547619048
"Caluromys lanatus",56,0.5,34,1461,-25.753,-54.54,"Argentina",0.036739542,0.036739542,0.35033,0.287691466666667,5,218.545501885714,1,"20","0","0","10","40","Nocturnal",2.5,3,5,"0","1","0","1","0","0",2,180.533547619048
"Caluromys lanatus",10,2.8,11,245,-7.691903,-72.639592,"Brazil",0.406307978,0.620432282,0.35033,0.287691466666667,5,218.545501885714,1,"20","0","0","10","40","Nocturnal",2.5,3,5,"0","1","0","1","0","0",2,180.533547619048
"Caluromys lanatus",8.33,3.361344538,107,90,4.390395,-73.297052,"Colombia",0.075804777,0.129929388,0.35033,0.287691466666667,5,218.545501885714,1,"20","0","0","10","40","Nocturnal",2.5,3,5,"0","1","0","1","0","0",2,180.533547619048
"Caluromys philander",672,0.041666667,57.5,1765,-20.580677,-40.417217,"Brazil",0.039561522,0.039561522,0.24647,0.00996,7.616666667,309.26,1,"20","0","0","10","40","Nocturnal",4.26,2,5,"0","1","0","1","0","0",2,40
"Cavia aperea",8,3.5,29,365,-30.117957,-53.619222,"Brazil",3.655172414,6.264965518,0.52438,0.000922,6,74,2.4596,"0","0","0","0","100","Diurnal",2.31,5,1,"0","1","1","0","1","0",6,994.628130000001
"Cavia aperea",4,7,70,214,-20.187971,-54.806624,"Brazil",0.024365821,0.041763017,0.52438,0.000922,6,74,2.4596,"0","0","0","0","100","Diurnal",2.31,5,1,"0","1","1","0","1","0",6,994.628130000001
"Cavia aperea",6,4.666666667,26,761,-28.170158,-52.314813,"Brazil",0.129131709,0.221331749,0.52438,0.000922,6,74,2.4596,"0","0","0","0","100","Diurnal",2.31,5,1,"0","1","1","0","1","0",6,994.628130000001
"Cavia aperea",8,3.5,28,245,-19.936923,-40.482438,"Brazil",0.053206997,0.091196793,0.52438,0.000922,6,74,2.4596,"0","0","0","0","100","Diurnal",2.31,5,1,"0","1","1","0","1","0",6,994.628130000001
"Cavia aperea",28,1,180.4,1126,-22.307184,-43.130266,"Brazil",0.001796875,0.002521016,0.52438,0.000922,6,74,2.4596,"0","0","0","0","100","Diurnal",2.31,5,1,"0","1","1","0","1","0",6,994.628130000001
"Cavia aperea",4,7,45,366,-30.347781,-53.998679,"Brazil",0.73132969,1.253499089,0.52438,0.000922,6,74,2.4596,"0","0","0","0","100","Diurnal",2.31,5,1,"0","1","1","0","1","0",6,994.628130000001
"Cavia aperea",56,0.5,34,1461,-25.753,-54.54,"Argentina",0.058783267,0.058783267,0.52438,0.000922,6,74,2.4596,"0","0","0","0","100","Diurnal",2.31,5,1,"0","1","1","0","1","0",6,994.628130000001
"Cavia aperea",4,7,63,242,-26.581324,-48.722133,"Brazil",0.047881412,0.08206874,0.52438,0.000922,6,74,2.4596,"0","0","0","0","100","Diurnal",2.31,5,1,"0","1","1","0","1","0",6,994.628130000001
"Cavia aperea",672,0.041666667,366,1461,-24.866723,-50.445759,"Brazil",0.00273037,0.00273037,0.52438,0.000922,6,74,2.4596,"0","0","0","0","100","Diurnal",2.31,5,1,"0","1","1","0","1","0",6,994.628130000001
"Cerdocyon thous",8,3.5,27.2,182,9.489191,-75.514281,"Colombia",3.465376535,5.049053611,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",672,0.041666667,57.5,1765,-20.580677,-40.417217,"Brazil",0.237369134,0.237369134,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",4,7,100,365,-13.561588,-58.421854,"Brazil",0.42,0.61194,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",24,1.166666667,99.3,183,9.508766,-75.236148,"Colombia",0.964125931,1.153094613,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",12,2.333333333,59.6,730,-19.72597,-40.644482,"Brazil",0.067114094,0.086845638,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",4,7,63,242,-26.581324,-48.722133,"Brazil",0.071822117,0.104644824,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",8,3.5,25,1310,-6.115415,-49.990498,"Brazil",0.12259542,0.178621527,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",12,2.333333333,36,730,-1.005806,-46.774428,"Brazil",0.069444444,0.089861111,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",8,3.5,49,182,9.821408,-75.442693,"Colombia",1.514352994,2.206412312,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",4,7,45,366,-30.347781,-53.998679,"Brazil",0.177292046,0.258314511,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",56,0.5,34,1461,-25.753,-54.54,"Argentina",0.433526593,0.433526593,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
"Cerdocyon thous",8,3.5,29,365,-30.117957,-53.619222,"Brazil",0.172413793,0.251206896,5.74166,1.41,11.5,276.05452,2,"50","0","10","0","0","Nocturnal",3.545,1.9,3,"1","1","1","1","1","0",9,0.41
